id_usuario,id_usuario_admin,id_empleado,nombre_usuario,contraseña
1,0,1,carlos.gomez,4821
2,1,2,lucia.martinez,1934
3,0,3,andres.lopez,7502
4,0,4,sofia.ramirez,8641
5,7,5,daniel.torres,3257
6,0,6,valentina.castro,9184
7,0,7,mateo.rojas,6042
8,6,8,isabella.navarro,2719
9,0,9,javier.ortega,5380
10,0,10,camila.silva,4927
11,0,11,alejandro.morales,8675
12,0,12,paula.herrera,1043
13,0,13,diego.vega,3568
14,4,14,maria.campos,9021
15,5,15,fernando.molina,6750
16,0,16,laura.delgado,4302
17,0,17,pablo.suarez,5983
18,0,18,claudia.reyes,2147
19,0,19,hugo.cortes,7804
20,0,20,adriana.paredes,6315
21,0,21,sergio.fuentes,2459
22,0,22,elena.pena,8976
23,0,23,ivan.acosta,3642
24,9,24,natalia.escobar,7501
25,0,25,raul.bravo,4893
26,8,26,gabriela.santos,1907
27,0,27,tomas.leon,8324
28,0,28,patricia.iglesias,5068
29,10,29,ricardo.cano,6731
30,2,30,veronica.serrano,9410
31,0,31,alvaro.prieto,1825
32,0,32,marta.calvo,3749
33,0,33,ruben.pascual,8602
34,0,34,beatriz.gallego,4250
35,0,35,oscar.lara,7138
36,0,36,cristina.nieto,5947
37,3,37,guillermo.rico,2684
38,0,38,alicia.pastor,8301
39,0,39,jorge.marin,1095
40,0,40,sara.rubio,4762
41,11,41,unai.manterola,1234
42,12,42,unax.gahona,1234
43,13,43,aimar.garcia,1234
44,14,44,aroa.hernandez,1234
